word			count
catch			3
catching			2
caterpillar			1
cats			13
cattle			1
caught			3
cauldron			2
cause			5
caused			2
cautiously			3
cease			1
ceiling			1
centre			1
certain			5
certainly			13
chain			1
chains			1
chair			1
chance			4
chanced			1
change			14
changed			14
changes			2
changing			2
character			1
charge			6
charges			2
charitable			1
charities			1
chat			1
chatte			1
cheap			1
cheated			1
check			2
checked			3
checks			1
cheeks			1
cheered			3
cheerfully			1
cherry			1
chief			1
child			12
childhood			1
childish			1
children			10
chimney			6
chimneys			1
chin			7
choice			2
choke			1
choked			3
choking			1
choose			1
choosing			1
chop			1
chorus			3
chose			2
chrysalis			1
chuckled			1
circle			1
circumstances			1
civil			3
claim			1
clamour			1
clapping			1
clasped			1
claws			2
clean			1
clear			2
cleared			1
clearer			1
clearly			2
clever			2
climb			1
clinging			1
clock			5
close			15
closed			2
closely			1
closer			1
closing			1
cloth			1
clubs			1
coast			1
coaxing			2
codes			1
coffee			1
cold			1
collected			2
collection			4
colon			1
come			26
comes			4
comfits			2
comfort			1
comfortable			1
comfortably			1
comic			1
coming			9
commercial			1
committed			1
common			1
commotion			1
company			1
compilation			1
complained			1
complaining			1
completely			1
compliance			4
comply			6
complying			3
compressed			1
computer			2
computers			2
con			1
concept			2
concerning			2
concert			2
concluded			2
conclusion			2
conduct			1
confirmation			1
confirmed			1
confused			4
confusing			3
confusion			5
conger			1
conquest			1
consented			1
consider			2
considerable			2
considered			3
considering			3
constant			3
consultation			1
contact			3
contain			2
containing			1
contempt			1
contemptuous			1
contemptuously			2
content			1
continued			7
contradicted			1
contributions			1
conversation			9
conversations			2
convert			1
cook			13
cool			2
copied			2
copies			7
copy			12
copying			4
copyright			13
corner			4
corners			1
corporation			1
corrupt			1
cost			4
costs			2
could			76
couldn			9
counting			1
countries			1
country			3
couple			1
couples			1
courage			3
course			28
court			19
courtiers			2
coward			1
crab			1
crash			3
crashed			1
crawled			1
crawling			1
crazy			1
created			2
creating			3
creation			1
creature			4
creatures			10
credit			1
creep			1
crept			1
crew			1
cried			20
cries			1
crimson			2
critical			1
crocodile			1
croquet			8
croqueted			1
croqueting			1
cross			3
crossed			3
crossly			1
crouched			1
crowd			4
crowded			7
crown			3
cruel			1
crumbs			4
crust			1
cry			4
crying			2
cucumber			2
cun			1
cup			2
cupboards			2
cur			1
curiosity			5
curious			21
curiouser			1
curled			2
curls			1
curly			1
currants			1
current			1
curtain			1
curtsey			1
curving			1
cushion			2
custard			1
custody			2
cut			5
cute			1
cutting			1
d			29
d_			1
dainties			1
daisies			1
daisy			1
damage			1
damaged			1
damages			2
dance			13
dancing			2
dare			4
daresay			2
dark			3
darkness			1
data			1
date			2
dates			1
daughter			1
day			30
days			8
de			1
dead			5
deal			12
dear			28
dears			3
death			1
decided			3
decidedly			4
declare			2
declared			1
deductible			1
deeds			1
deep			7
deepest			1
deeply			4
defect			2
defective			3
deft			1
delay			1
deletions			1
delight			3
delighted			2
delightful			2
demand			1
demn			1
denied			2
denies			1
deny			2
denying			1
depends			2
derivative			3
derive			1
derived			1
described			1
deserved			1
desk			1
desks			1
despair			1
desperate			1
desperately			1
destroy			2
detach			1
determine			1
